region,subregion,year,cluster,cluster_label,stunting_rate
Adamawa,Adamawa,2018,0,Northern-rural (critical risk),36.55
Centre,Centre,2018,1,Urban-affluent (low risk),19.5
East,East,2018,0,Northern-rural (critical risk),33.599999999999994
Far North,Far North,2018,0,Northern-rural (critical risk),37.9
Littoral,Littoral,2018,1,Urban-affluent (low risk),15.4
North,North,2018,0,Northern-rural (critical risk),39.9
Northwest,Northwest,2018,1,Urban-affluent (low risk),27.0
South,South,2018,1,Urban-affluent (low risk),27.95
Southwest,Southwest,2018,1,Urban-affluent (low risk),27.5
West,West,2018,1,Urban-affluent (low risk),24.25
